2025-08-28 14:55:36 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.end_session' completed in 0.28ms | Data: {"operation_id": "core.database.end_session_1756407336949", "operation_name": "core.database.end_session", "duration_ms": 0.28, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.28ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.97ms | Data: {"operation_id": "core.config.load_config_1756449723971", "operation_name": "core.config.load_config", "duration_ms": 1.97, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.97ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.97ms | Data: {"operation_id": "core.config.load_config_1756449723971", "operation_name": "core.config.load_config", "duration_ms": 1.97, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.97ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.76ms | Data: {"operation_id": "core.config.load_config_1756449723974", "operation_name": "core.config.load_config", "duration_ms": 1.76, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.76ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.76ms | Data: {"operation_id": "core.config.load_config_1756449723974", "operation_name": "core.config.load_config", "duration_ms": 1.76, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.76ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.78ms | Data: {"operation_id": "core.database._initialize_database_1756449723975", "operation_name": "core.database._initialize_database", "duration_ms": 0.78, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.78ms
2025-08-29 02:42:03 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.78ms | Data: {"operation_id": "core.database._initialize_database_1756449723975", "operation_name": "core.database._initialize_database", "duration_ms": 0.78, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.78ms
2025-08-29 02:42:04 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.create_session' completed in 2.43ms | Data: {"operation_id": "core.database.create_session_1756449724418", "operation_name": "core.database.create_session", "duration_ms": 2.43, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 2.43ms
2025-08-29 02:42:04 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.create_session' completed in 2.43ms | Data: {"operation_id": "core.database.create_session_1756449724418", "operation_name": "core.database.create_session", "duration_ms": 2.43, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 2.43ms
2025-08-29 02:42:04 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.end_session' completed in 0.29ms | Data: {"operation_id": "core.database.end_session_1756449724489", "operation_name": "core.database.end_session", "duration_ms": 0.29, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.29ms
2025-08-29 02:42:04 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.end_session' completed in 0.29ms | Data: {"operation_id": "core.database.end_session_1756449724489", "operation_name": "core.database.end_session", "duration_ms": 0.29, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.29ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.82ms | Data: {"operation_id": "core.config.load_config_1756449730783", "operation_name": "core.config.load_config", "duration_ms": 1.82, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.82ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.82ms | Data: {"operation_id": "core.config.load_config_1756449730783", "operation_name": "core.config.load_config", "duration_ms": 1.82, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.82ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.62ms | Data: {"operation_id": "core.config.load_config_1756449730785", "operation_name": "core.config.load_config", "duration_ms": 1.62, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.62ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.62ms | Data: {"operation_id": "core.config.load_config_1756449730785", "operation_name": "core.config.load_config", "duration_ms": 1.62, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.62ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.76ms | Data: {"operation_id": "core.database._initialize_database_1756449730787", "operation_name": "core.database._initialize_database", "duration_ms": 0.76, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.76ms
2025-08-29 02:42:10 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.76ms | Data: {"operation_id": "core.database._initialize_database_1756449730787", "operation_name": "core.database._initialize_database", "duration_ms": 0.76, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.76ms
2025-08-29 02:42:11 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.create_session' completed in 1.27ms | Data: {"operation_id": "core.database.create_session_1756449731217", "operation_name": "core.database.create_session", "duration_ms": 1.27, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.27ms
2025-08-29 02:42:11 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.create_session' completed in 1.27ms | Data: {"operation_id": "core.database.create_session_1756449731217", "operation_name": "core.database.create_session", "duration_ms": 1.27, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.27ms
2025-08-29 02:42:11 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.end_session' completed in 0.41ms | Data: {"operation_id": "core.database.end_session_1756449731285", "operation_name": "core.database.end_session", "duration_ms": 0.41, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.41ms
2025-08-29 02:42:11 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database.end_session' completed in 0.41ms | Data: {"operation_id": "core.database.end_session_1756449731285", "operation_name": "core.database.end_session", "duration_ms": 0.41, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.41ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 2.13ms | Data: {"operation_id": "core.config.load_config_1756570071900", "operation_name": "core.config.load_config", "duration_ms": 2.13, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 2.13ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 2.13ms | Data: {"operation_id": "core.config.load_config_1756570071900", "operation_name": "core.config.load_config", "duration_ms": 2.13, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 2.13ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.77ms | Data: {"operation_id": "core.config.load_config_1756570071902", "operation_name": "core.config.load_config", "duration_ms": 1.77, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.77ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.config.load_config' completed in 1.77ms | Data: {"operation_id": "core.config.load_config_1756570071902", "operation_name": "core.config.load_config", "duration_ms": 1.77, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 1.77ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.84ms | Data: {"operation_id": "core.database._initialize_database_1756570071904", "operation_name": "core.database._initialize_database", "duration_ms": 0.84, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.84ms
2025-08-30 12:07:51 | reconforge.performance | INFO     | _log_to_appropriate_logger | [PERFORMANCE] Operation 'core.database._initialize_database' completed in 0.84ms | Data: {"operation_id": "core.database._initialize_database_1756570071904", "operation_name": "core.database._initialize_database", "duration_ms": 0.84, "success": true, "thread_id": "MainThread", "function_result": "success"} | Duration: 0.84ms
